brand,model,ev_description
BYD,SEAL U 71.8 kWh Comfort,"The BYD SEAL U 71.8 kWh Comfort is an electric vehicle in the JD - Large segment. It has a 71.8 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 175.0 km/h with 0-100 acceleration in 9.3 seconds. It supports DC fast charging at up to 72.0 kW via CCS port. It offers 552.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
BYD,SEAL U 87 kWh Design,"The BYD SEAL U 87 kWh Design is an electric vehicle in the JD - Large segment. It has a 87.0 kWh Lithium-ion battery that provides a range of approximately 425.0 km. The top speed is 175.0 km/h with 0-100 acceleration in 9.6 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 552.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
BYD,SEALION 7 82.5 kWh AWD Design,"The BYD SEALION 7 82.5 kWh AWD Design is an electric vehicle in the JD - Large segment. It has a 82.5 kWh Lithium-ion battery that provides a range of approximately 400.0 km. The top speed is 215.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BYD,SEALION 7 82.5 kWh RWD Comfort,"The BYD SEALION 7 82.5 kWh RWD Comfort is an electric vehicle in the JD - Large segment. It has a 82.5 kWh Lithium-ion battery that provides a range of approximately 415.0 km. The top speed is 215.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
BYD,SEALION 7 91.3 kWh AWD Excellence,"The BYD SEALION 7 91.3 kWh AWD Excellence is an electric vehicle in the JD - Large segment. It has a 91.3 kWh Lithium-ion battery that provides a range of approximately 430.0 km. The top speed is 215.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 165.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BYD,TANG Flagship,"The BYD TANG Flagship is an electric vehicle in the JE - Executive segment. It has a 108.8 kWh Lithium-ion battery that provides a range of approximately 460.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 4.9 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 235.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
CUPRA,Born 170 kW - 59 kWh,"The CUPRA Born 170 kW - 59 kWh is an electric vehicle in the C - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
CUPRA,Born 170 kW - 77 kWh,"The CUPRA Born 170 kW - 77 kWh is an electric vehicle in the C - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 460.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 125.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
CUPRA,Born VZ,"The CUPRA Born VZ is an electric vehicle in the C - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
CUPRA,Tavascan Endurance,"The CUPRA Tavascan Endurance is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 445.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.8 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 540.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
CUPRA,Tavascan VZ,"The CUPRA Tavascan VZ is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 425.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.5 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 540.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Cadillac,Lyriq 600 E4,"The Cadillac Lyriq 600 E4 is an electric vehicle in the JF - Luxury segment. It has a 102.0 kWh Lithium-ion battery that provides a range of approximately 460.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 5.3 seconds. It supports DC fast charging at up to 165.0 kW via CCS port. It offers 793.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Citroen,e-Berlingo M 50 kWh,"The Citroen e-Berlingo M 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 775.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Citroen,e-Berlingo XL 50 kWh,"The Citroen e-Berlingo XL 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 230.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 1050.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Citroen,e-C3,"The Citroen e-C3 is an electric vehicle in the B - Compact segment. It has a 44.0 kWh Lithium-ion battery that provides a range of approximately 255.0 km. The top speed is 135.0 km/h with 0-100 acceleration in 11.5 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 310.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Citroen,e-C3 Aircross,"The Citroen e-C3 Aircross is an electric vehicle in the JB - Compact segment. It has a 44.0 kWh Lithium-ion battery that provides a range of approximately 240.0 km. The top speed is 145.0 km/h with 0-100 acceleration in 12.9 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 460.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Citroen,e-C4,"The Citroen e-C4 is an electric vehicle in the C - Medium segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 285.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.9 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 380.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Citroen,e-C4 54 kWh,"The Citroen e-C4 54 kWh is an electric vehicle in the C - Medium segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.1 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 380.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Citroen,e-C4 X,"The Citroen e-C4 X is an electric vehicle in the C - Medium segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 290.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.9 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 510.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Sedan category."
Citroen,e-C4 X 54 kWh,"The Citroen e-C4 X 54 kWh is an electric vehicle in the C - Medium segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.1 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 510.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Sedan category."
Citroen,e-SpaceTourer M 50 kWh,"The Citroen e-SpaceTourer M 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Citroen,e-SpaceTourer M 75 kWh,"The Citroen e-SpaceTourer M 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 14.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Citroen,e-SpaceTourer XL 50 kWh,"The Citroen e-SpaceTourer XL 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Citroen,e-SpaceTourer XL 75 kWh,"The Citroen e-SpaceTourer XL 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 14.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
DS,3 E-Tense,"The DS 3 E-Tense is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 300.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 350.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
DS,N°4 E-Tense,"The DS N°4 E-Tense is an electric vehicle in the JC - Medium segment. It has a 58.3 kWh Lithium-ion battery that provides a range of approximately 375.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.1 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 390.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
DS,N°8 AWD Long Range,"The DS N°8 AWD Long Range is an electric vehicle in the JD - Large segment. It has a 97.2 kWh Lithium-ion battery that provides a range of approximately 530.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 130.0 kW via CCS port. It offers 620.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
DS,N°8 FWD,"The DS N°8 FWD is an electric vehicle in the JD - Large segment. It has a 73.7 kWh Lithium-ion battery that provides a range of approximately 415.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 7.7 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 620.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
DS,N°8 FWD Long Range,"The DS N°8 FWD Long Range is an electric vehicle in the JD - Large segment. It has a 97.2 kWh Lithium-ion battery that provides a range of approximately 545.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 7.8 seconds. It supports DC fast charging at up to 130.0 kW via CCS port. It offers 620.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Dacia,Spring Electric 45,"The Dacia Spring Electric 45 is an electric vehicle in the A - Mini segment. It has a 25.0 kWh Lithium-ion battery that provides a range of approximately 165.0 km. The top speed is 125.0 km/h with 0-100 acceleration in 19.1 seconds. It supports DC fast charging at up to 29.0 kW via CCS port. It offers 308.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Dacia,Spring Electric 65,"The Dacia Spring Electric 65 is an electric vehicle in the A - Mini segment. It has a 25.0 kWh Lithium-ion battery that provides a range of approximately 160.0 km. The top speed is 125.0 km/h with 0-100 acceleration in 13.7 seconds. It supports DC fast charging at up to 29.0 kW via CCS port. It offers 308.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
